,BusID:ID,X:double,Y:double,Previous Bus:int,Year:int,Month:int,Day:int,Hour:int,CurrVal:double,PrevNode Val:double,PrevVal:double
0,T_1,10.52,13.6,0,0,0,0,0,0,0,0
1,T_1001,10.19,13.04,0,0,0,0,0,0,0,0
2,T_1002,8.9,14.11,1001,0,0,0,0,0,0,0
3,T_2001,10.52,12.23,0,0,0,0,0,0,0,0
4,T_2004,7.07,7.58,2003,0,0,0,0,0,0,0
5,T_2006,4.54,7.58,2005,0,0,0,0,0,0,0
6,T_2007,4.55,8.25,2006,0,0,0,0,0,0,0
7,T_2012,2.32,7.1,2011,0,0,0,0,0,0,0
8,T_2013,2.31,6.44,0,0,0,0,0,0,0,0
9,T_2019,3.23,6.45,2013,0,0,0,0,0,0,0
10,T_2021,4.04,6.44,2019,0,0,0,0,0,0,0
11,T_2026,4.8,6.45,0,0,0,0,0,0,0,0
12,T_2027,5.59,6.45,2026,0,0,0,0,0,0,0
13,T_2033,7.6,6.45,2032,0,0,0,0,0,0,0
14,T_2036,9.3,6.45,2035,0,0,0,0,0,0,0
15,T_2038,10.21,5.84,2037,0,0,0,0,0,0,0
16,T_2039,10.21,4.98,2038,0,0,0,0,0,0,0
17,T_2044,8.76,3.63,2043,0,0,0,0,0,0,0
18,T_2057,8.76,1.4,2053,0,0,0,0,0,0,0
19,T_3001,10.83,13.02,0,0,0,0,0,0,0,0
20,T_3003,12.5,12.85,3001,0,0,0,0,0,0,0
21,T_3005,13.36,12.85,3003,0,0,0,0,0,0,0
22,T_3008,14.62,11.41,3005,0,0,0,0,0,0,0
23,T_3015,15.79,11.41,3008,0,0,0,0,0,0,0
24,T_3022,16.99,11.41,3015,0,0,0,0,0,0,0
25,T_3030,18.26,11.41,3022,0,0,0,0,0,0,0
26,T_3040,19.51,11.41,3030,0,0,0,0,0,0,0
27,T_3046,20.88,11.41,3040,0,0,0,0,0,0,0
28,T_3053,19.51,14.79,3039,0,0,0,0,0,0,0
29,T_3055,21.01,14.79,3053,0,0,0,0,0,0,0
30,T_3068,18.26,8.82,3034,0,0,0,0,0,0,0
31,T_3069,16.65,8.82,3068,0,0,0,0,0,0,0
32,T_3075,19.05,8.82,3068,0,0,0,0,0,0,0
33,T_3076,19.97,8.82,0,0,0,0,0,0,0,0
34,T_3079,19.97,8.07,3076,0,0,0,0,0,0,0
35,T_3080,19.97,7.42,3079,0,0,0,0,0,0,0
36,T_3082,19.97,6.79,3080,0,0,0,0,0,0,0
37,T_3092,22.05,6.79,3082,0,0,0,0,0,0,0
38,T_3100,23.09,6.8,3092,0,0,0,0,0,0,0
39,T_3107,19.98,5.54,3082,0,0,0,0,0,0,0
40,T_3113,18.63,4.76,3107,0,0,0,0,0,0,0
41,T_3118,21.36,4.03,3107,0,0,0,0,0,0,0
42,T_3119,22.77,4.03,3118,0,0,0,0,0,0,0
43,T_3133,21.36,2.41,3132,0,0,0,0,0,0,0
44,T_3140,17.61,2.5,3107,0,0,0,0,0,0,0
45,T_3156,17.64,1.11,3140,0,0,0,0,0,0,0
