,BusID:ID,"Voltage rating of Winding 1 (kV):double", %R1:double, %R2:double, %R3:double, %X12:double, %X13:double, %X23:double,Previous Bus:int,X:double,Y:double,Year:int,Month:int,Day:int,Hour:int,CurrVal:double,"PrevNode Val:double",PrevVal:double
0,T_1011,7.9677,0.665,1.33,1.33,2.256,2.256,1.504,1009,2.4,12.98,2017,1,5,5,3.072,8.72,3.317
1,T_1012,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,1011,2.4,12.11,2017,1,5,5,1.211,3.072,1.223
2,T_1014,7.9677,0.665,1.33,1.33,2.256,2.256,1.504,1013,3.85,11.23,2017,1,5,5,0.495,3.23,0.504
3,T_1015 ,7.9677,0.665,1.33,1.33,2.256,2.256,1.504,1014,4.85,11.23,2017,1,5,5,0.638,0.495,0.702
4,T_1016,7.9677,0.55,1.1,1.1,2.16,2.16,1.44,1013,2.4,10.48,2017,1,5,5,1.211,3.23,1.223
5,T_1017,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,1016,2.4,9.73,2017,1,5,5,5.248,1.211,2.988
6,T_2008,7.9677,0.665,1.33,1.33,2.256,2.256,1.504,2007,3.66,8.25,2017,1,5,5,2.046,0.0,2.158
7,T_2009,7.9677,0.665,1.33,1.33,2.256,2.256,1.504,2007,4.55,8.93,2017,1,5,5,1.491,0.0,0.716
8,T_2014,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,2013,2.31,5.68,2017,1,5,5,3.675,0.0,2.829
9,T_2015,7.9677,0.665,1.33,1.33,2.256,2.256,1.504,2014,1.41,5.68,2017,1,5,5,1.218,3.675,1.261
10,T_2016,7.9677,0.665,1.33,1.33,2.256,2.256,1.504,2014,2.31,4.97,2017,1,5,5,2.403,3.675,2.395
11,T_2017,7.9677,0.665,1.33,1.33,2.256,2.256,1.504,2016,2.31,4.24,2017,1,5,5,3.973,2.403,3.434
12,T_2018,7.9677,0.665,1.33,1.33,2.256,2.256,1.504,2017,2.31,3.51,2017,1,5,5,2.979,3.973,2.967
13,T_2020,7.9677,0.665,1.33,1.33,2.256,2.256,1.504,2019,3.23,5.85,2017,1,5,5,3.545,0.0,3.363
14,T_2022,7.9677,0.665,1.33,1.33,2.256,2.256,1.504,2021,4.04,5.72,2017,1,5,5,2.285,0.0,1.821
15,T_2023,7.9677,0.83,1.66,1.66,1.536,1.536,1.024,2022,4.04,4.99,2017,1,5,5,0.835,2.285,0.83
16,T_2024,7.9677,0.665,1.33,1.33,2.256,2.256,1.504,2023,4.04,4.26,2017,1,5,5,2.937,0.835,3.038
17,T_2025,7.9677,0.665,1.33,1.33,2.256,2.256,1.504,2024,4.04,3.53,2017,1,5,5,3.869,2.937,3.66225
18,T_2028,7.9677,0.665,1.33,1.33,2.256,2.256,1.504,2027,5.59,5.88,2017,1,5,5,2.1535,0.0,2.0571
19,T_2031,7.9677,0.665,1.33,1.33,2.256,2.256,1.504,2030,5.58,4.16,2017,1,5,5,5.771,6.778,5.989
20,T_2045,7.9677,0.83,1.66,1.66,1.536,1.536,1.024,2044,8.76,4.29,2017,1,5,5,2.5,0.0,2.199
21,T_2046,7.9677,0.55,1.1,1.1,2.16,2.16,1.44,2045,8.76,5.0,2017,1,5,5,7.24,2.5,7.287
22,T_2047,7.9677,0.55,1.1,1.1,2.16,2.16,1.44,2045,7.84,4.29,2017,1,5,5,6.776,2.5,5.604
23,T_2048,7.9677,0.55,1.1,1.1,2.16,2.16,1.44,2047,6.92,4.29,2017,1,5,5,4.7,6.776,3.642
24,T_2049,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,2044,7.87,3.63,2017,1,5,5,4.11,0.0,4.464
25,T_2050,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,2049,7.01,3.63,2017,1,5,5,2.265,4.11,2.556
26,T_2051,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,2050,6.16,3.62,2017,1,5,5,6.458,2.265,5.979
27,T_2054,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,2053,7.78,2.1,2017,1,5,5,5.193,7.04,4.333
28,T_2055,7.9677,0.55,1.1,1.1,2.16,2.16,1.44,2054,6.84,2.1,2017,1,5,5,3.721,5.193,3.107
29,T_2056,7.9677,0.665,1.33,1.33,2.256,2.256,1.504,2055,5.86,2.1,2017,1,5,5,5.865,3.721,5.615
