,BusID:ID,"kVA rating of
Winding 1 (kVA):double", %R1:double, %R2:double, %R3:double, %X12:double, %X13:double, %X23:double,Previous Bus:int,X:double,Y:double,Year:int,Month:int,Day:int,Hour:int,CurrVal:double,PrevNode Val:double,PrevVal:double
0,T_1011,25.0,0.665,1.33,1.33,2.256,2.256,1.504,1009,2.4,12.98,0,0,0,0,0,0,0
1,T_1012,37.5,0.595,1.19,1.19,2.076,2.076,1.384,1011,2.4,12.11,0,0,0,0,0,0,0
2,T_1014,25.0,0.665,1.33,1.33,2.256,2.256,1.504,1013,3.85,11.23,0,0,0,0,0,0,0
3,T_1015,25.0,0.665,1.33,1.33,2.256,2.256,1.504,1014,4.85,11.23,0,0,0,0,0,0,0
4,T_1016,50.0,0.55,1.1,1.1,2.16,2.16,1.44,1013,2.4,10.48,0,0,0,0,0,0,0
5,T_1017,37.5,0.595,1.19,1.19,2.076,2.076,1.384,1016,2.4,9.73,0,0,0,0,0,0,0
6,T_2008,25.0,0.665,1.33,1.33,2.256,2.256,1.504,2007,3.66,8.25,0,0,0,0,0,0,0
7,T_2009,25.0,0.665,1.33,1.33,2.256,2.256,1.504,2007,4.55,8.93,0,0,0,0,0,0,0
8,T_2014,37.5,0.595,1.19,1.19,2.076,2.076,1.384,2013,2.31,5.68,0,0,0,0,0,0,0
9,T_2015,25.0,0.665,1.33,1.33,2.256,2.256,1.504,2014,1.41,5.68,0,0,0,0,0,0,0
10,T_2016,25.0,0.665,1.33,1.33,2.256,2.256,1.504,2014,2.31,4.97,0,0,0,0,0,0,0
11,T_2017,25.0,0.665,1.33,1.33,2.256,2.256,1.504,2016,2.31,4.24,0,0,0,0,0,0,0
12,T_2018,25.0,0.665,1.33,1.33,2.256,2.256,1.504,2017,2.31,3.51,0,0,0,0,0,0,0
13,T_2020,25.0,0.665,1.33,1.33,2.256,2.256,1.504,2019,3.23,5.85,0,0,0,0,0,0,0
14,T_2022,25.0,0.665,1.33,1.33,2.256,2.256,1.504,2021,4.04,5.72,0,0,0,0,0,0,0
15,T_2023,15.0,0.83,1.66,1.66,1.536,1.536,1.024,2022,4.04,4.99,0,0,0,0,0,0,0
16,T_2024,25.0,0.665,1.33,1.33,2.256,2.256,1.504,2023,4.04,4.26,0,0,0,0,0,0,0
17,T_2025,25.0,0.665,1.33,1.33,2.256,2.256,1.504,2024,4.04,3.53,0,0,0,0,0,0,0
18,T_2028,25.0,0.665,1.33,1.33,2.256,2.256,1.504,2027,5.59,5.88,0,0,0,0,0,0,0
19,T_2031,25.0,0.665,1.33,1.33,2.256,2.256,1.504,2030,5.58,4.16,0,0,0,0,0,0,0
20,T_2045,15.0,0.83,1.66,1.66,1.536,1.536,1.024,2044,8.76,4.29,0,0,0,0,0,0,0
21,T_2046,50.0,0.55,1.1,1.1,2.16,2.16,1.44,2045,8.76,5.0,0,0,0,0,0,0,0
22,T_2047,50.0,0.55,1.1,1.1,2.16,2.16,1.44,2045,7.84,4.29,0,0,0,0,0,0,0
23,T_2048,50.0,0.55,1.1,1.1,2.16,2.16,1.44,2047,6.92,4.29,0,0,0,0,0,0,0
24,T_2049,37.5,0.595,1.19,1.19,2.076,2.076,1.384,2044,7.87,3.63,0,0,0,0,0,0,0
25,T_2050,37.5,0.595,1.19,1.19,2.076,2.076,1.384,2049,7.01,3.63,0,0,0,0,0,0,0
26,T_2051,37.5,0.595,1.19,1.19,2.076,2.076,1.384,2050,6.16,3.62,0,0,0,0,0,0,0
27,T_2054,37.5,0.595,1.19,1.19,2.076,2.076,1.384,2053,7.78,2.1,0,0,0,0,0,0,0
28,T_2055,50.0,0.55,1.1,1.1,2.16,2.16,1.44,2054,6.84,2.1,0,0,0,0,0,0,0
