,Primary voltage rating (kV),Secondary voltage rating (kV),kVA rating (kVA),%R,%X,Year,Month,Day,Hour,Current Value,Prev Node,Prev Time,Anomaly
0,13.8,0.208,75,1.0,2.1,2017,1,1,1,5.04,4.916,0.0,0
1,13.8,0.208,75,1.0,2.1,2017,1,1,2,4.76,5.335,5.04,0
2,13.8,0.208,75,1.0,2.1,2017,1,1,3,0.0,4.563,4.76,1
3,13.8,0.208,75,1.0,2.1,2017,1,1,4,4.8,4.782,0.0,0
4,13.8,0.208,75,1.0,2.1,2017,1,1,5,5.0,4.482,4.8,0
5,13.8,0.208,75,1.0,2.1,2017,1,1,6,4.36,4.963,5.0,0
6,13.8,0.208,75,1.0,2.1,2017,1,1,7,5.24,4.7,4.36,0
7,13.8,0.208,75,1.0,2.1,2017,1,1,8,4.12,4.664,5.24,0
8,13.8,0.208,75,1.0,2.1,2017,1,1,9,4.04,4.246,4.12,0
9,13.8,0.208,75,1.0,2.1,2017,1,1,10,3.96,5.065,4.04,0
10,13.8,0.208,75,1.0,2.1,2017,1,1,11,4.08,5.716,3.96,0
11,13.8,0.208,75,1.0,2.1,2017,1,1,12,8.24,5.006,4.08,0
12,13.8,0.208,75,1.0,2.1,2017,1,1,13,12.4,4.37,8.24,0
13,13.8,0.208,75,1.0,2.1,2017,1,1,14,12.2,4.454,12.4,0
14,13.8,0.208,75,1.0,2.1,2017,1,1,15,3.84,4.486,12.2,0
15,13.8,0.208,75,1.0,2.1,2017,1,1,16,4.72,6.46,3.84,0
16,13.8,0.208,75,1.0,2.1,2017,1,1,17,5.36,5.93,4.72,0
17,13.8,0.208,75,1.0,2.1,2017,1,1,18,4.2,8.199,5.36,0
18,13.8,0.208,75,1.0,2.1,2017,1,1,19,8.24,6.032,4.2,2
19,13.8,0.208,75,1.0,2.1,2017,1,1,20,5.28,6.064,8.24,0
20,13.8,0.208,75,1.0,2.1,2017,1,1,21,5.16,5.601,5.28,0
21,13.8,0.208,75,1.0,2.1,2017,1,1,22,4.72,5.486,5.16,0
22,13.8,0.208,75,1.0,2.1,2017,1,1,23,5.0,5.531,4.72,0
23,13.8,0.208,75,1.0,2.1,2017,1,2,0,5.12,4.838,5.0,0
24,13.8,0.208,75,1.0,2.1,2017,1,2,1,4.76,5.248,5.12,0
25,13.8,0.208,75,1.0,2.1,2017,1,2,2,5.0,4.854,4.76,0
26,13.8,0.208,75,1.0,2.1,2017,1,2,3,4.72,5.467,5.0,0
27,13.8,0.208,75,1.0,2.1,2017,1,2,4,3.88,5.036,4.72,0
28,13.8,0.208,75,1.0,2.1,2017,1,2,5,4.52,5.079,3.88,0
29,13.8,0.208,75,1.0,2.1,2017,1,2,6,0.0,4.834,4.52,1
30,13.8,0.208,75,1.0,2.1,2017,1,2,7,7.2,5.886,0.0,0
31,13.8,0.208,75,1.0,2.1,2017,1,2,8,28.64,4.869,7.2,2
32,13.8,0.208,75,1.0,2.1,2017,1,2,9,17.68,5.221,28.64,0
33,13.8,0.208,75,1.0,2.1,2017,1,2,10,17.84,5.228,17.68,0
34,13.8,0.208,75,1.0,2.1,2017,1,2,11,19.2,5.978,17.84,0
35,13.8,0.208,75,1.0,2.1,2017,1,2,12,17.68,4.521,19.2,0
36,13.8,0.208,75,1.0,2.1,2017,1,2,13,17.6,5.517,17.68,0
37,13.8,0.208,75,1.0,2.1,2017,1,2,14,17.24,5.891,17.6,0
38,13.8,0.208,75,1.0,2.1,2017,1,2,15,38.64,5.888,17.24,2
39,13.8,0.208,75,1.0,2.1,2017,1,2,16,15.04,5.217,38.64,0
40,13.8,0.208,75,1.0,2.1,2017,1,2,17,5.12,4.683,15.04,0
41,13.8,0.208,75,1.0,2.1,2017,1,2,18,5.56,6.318,5.12,0
42,13.8,0.208,75,1.0,2.1,2017,1,2,19,5.48,5.567,5.56,0
43,13.8,0.208,75,1.0,2.1,2017,1,2,20,6.12,5.909,5.48,0
44,13.8,0.208,75,1.0,2.1,2017,1,2,21,10.72,4.633,6.12,2
